news_date,news_text
2017 Dec 17,مدیرکل حفاظت و مدیریت شکار و صید سازمان حفاظت محیط‌زیست روز گذشته با اعلام اینکه بیش از ۹۰درصد پرندگان مهاجر توسط دام‌های هوایی در فریدنکنار در آسمان صید می‌شوند، گفت: معدود پرندگانی که به سطح زمین می‌رسند نیزبه روش‌های مختلف صید می‌شوند.
2017 Dec 18,دستیار ویژه اقتصادی رئیس‌جمهور می‌گوید: صدک اول جامعه در مقایسه با صدک آخر، درآمدی به نسبت یک به 86 دارد که عدد غیرقابل‌قبول و ناعادلانه‌ای است. مسعود نیلی در یک برنامه تلویزیونی تأکید کرد: اگر نظام مالیاتی هدف خود را شناسایی کند و از 800هزار نفر بالای جامعه مالیات گرفته شود و در میان 8میلیون نفر دهک پایین جامعه توزیع شود، این دهک از فقر مطلق خارج خواهد شد.
2017 Dec 18,«4 پرسش درباره اداره بهتر شهر»؛ مسافران متروی تهران دیروز و امروز به مناسبت روز حمل ونقل عمومی با یک نظرسنجی روبه‌رو شده و می‌شوند که در 10ایستگاه نظر آنان را درخصوص توسعه حمل‌ونقل عمومی و چگونگی آن جویا شده است.
2017 Dec 18,آلودگی هوا نفس تهران را به شماره انداخته و پیش‌بینی‌ها نشان می‌دهد که تا پایان هفته آسمان تهران و حتی برخی کلانشهرها خاکستری خواهد بود.
2017 Dec 18,رسانه‌ها در دمکراسی‌های معاصر نقش‌ها و کارکرد‌های گوناگونی دارند.یکی از مهم‌ترین کارکردهای رسانه را باید کارکرد نظارتی دانست.
2017 Dec 18,دستگاه‌های مختلف با این هدف نظر‌سنجی انجام می‌دهند تا بتوانند خدمات بهتری به مخاطبان و شهروندان ارائه کنند. اما تا به امروز دست‌کم در ایران چندان معلوم نیست که این نظر سنجی‌ها تا چه اندازه توانسته در ارائه خدمات بهتر موفق باشد و یا تغییر در الگوی خدمات‌دهی ایجاد کرده‌باشد.
2017 Dec 18,کمیته اضطرار آلودگی هوای استان تهران شب گذشته و در راستای پایداری جوی هوا در پایتخت که موجب افزایش آلودگی و رسیدن شاخص هوا به شرایط ناسالم برای همه شده بود، مدارس تمام مقاطع تحصیلی تهران را برای امروز، دوشنبه، 27آذر تعطیل اعلام کرد.
2017 Dec 18,می‌گوید نه سیاستمدار است و نه جامعه‌شناس؛ فقط نمایشنامه‌نویسی‌است که به اتفاقات اطرافش توجه دارد. محمد رحمانیان، نمایشنامه‌هایش را با نگاه اجتماعی نوشته و اجرا می‌کند؛ نمایش‌هایی که هرچند با انتقاداتی روبه‌رو بوده‌اند ولی با اقبال عمومی هم مواجه شده و نام رحمانیان را به‌عنوان یکی از بهترین‌های نمایش، مطرح کرده‌اند.
2017 Dec 19,تنگی نفس و سرفه‌های مکرر همراه با درد قفسه سینه، سوزش چشم، آبریزش چشم، سردرد، احساس سوزش وجه مشترک همه کسانی است که این روزها مهمان ویژه اورژانس بیمارستان‌های پایتخت هستند. در گوشه و کنار شهر هم کافی است چشم بگردانید از کوچک و بزرگ تا زن و مرد افرادی را می‌بینید که با ماسکی که به‌صورت خود زده‌اند، از آلودگی این روزهای هوای شهر رنج می‌برند. بررسی میدانی خبرنگار همشهری هم در مراجعه به اورژانس بیمارستان‌هایی مانند شریعتی، امام خمینی ره و مسیح دانشوری و طرفه، گویای افزایش تعداد مراجعه بیماران ناشی از آلودگی هواست.
2017 Dec 19,گفت‌وگو با دبیران کل احزاب و چهره‌های‌ کارشناس درباره معضلات اجتماعی و شهری
2017 Dec 19,در روزهای اخیر باز هم آلودگی هوای تهران به حدی رسید که تمامی مدارس پایتخت از مهدکودک­‌ها و پیش‌دبستانی­‌ها تا دبیرستانی‌­ها تعطیل شدند. بنابر آمار بهشت زهرا در چنین شرایطی شاهد افزایش مرگ‌ومیر شهروندان هستیم. همه اینها اقتضا می‌کند که به مسائل و شرایط زیست‌محیطی شهر توجه ویژه‌­ای شود.
2017 Dec 19,در سنجش فعلی آلودگی هوا ذرات معلق زیر ۱۰ میکرومتر، ذرات زیر ۲.۵ میکرومتر، SO2، CO، ترکیبات نیتروژن که به آنها NOx می‌گوییم، شاخص‌هایی مهم هستند.
2017 Dec 19,هیأت اعزامی صندوق بین‌المللی پول به ایران با به پایان رسیدن مأموریت خود گزارشی منتشر کرد
2017 Dec 19,فیلمی که هفته گذشته از برخورد 2 معبربان شهرداری با دستفروشی به سرعت در فضای مجازی پیچید با واکنش جدی شهرداری تهران در برخورد و توبیخ کارمندان متخلف همراه شد. پرونده آن 2 معبربان هم‌اکنون در حال سیر مراحل قضایی است.
2017 Dec 19,دبیر شورای‌عالی امنیت ملی در سفر به استان کردستان، گفت: کولبری در هیچ کجا شایسته نیست و نباید فراموش کنیم که انقلاب اسلامی و مسئولان کشور هیچگاه به‌دنبال به‌وجود آمدن این مسئله نبودند.
2017 Dec 20,توسعه حمل‌ونقل عمومی و استفاده از آن همیشه به‌عنوان یکی از راهکارهای اصلی مقابله با آلودگی هوا و ترافیک عنوان می‌شود.
2017 Dec 20,رئیس‌جمهور صدای مردم را می‌شنود؛ اظهارات او در اجلاس ملی اجرای حقوق شهروندی پاسخی به مطالبات حامیانش و نظر عموم مردم به‌ویژه درباره جنجال بودجه‌ای کشور و سهم ویژه برخی نهادها از آن بود. حسن روحانی 5 بار در سخنرانی‌اش بر «پیمان» میان خود با مردم تأکید کرد. «جوانان» پرتکرارترین مخاطبان رئیس‌جمهور در کلامش بودند. او شش قول درباره حقوق شهروندی به مردم داد.
2017 Dec 20,به مناسبت فرارسیدن سالروز رونمایی از منشور حقوق شهروندی، دیگر بار بحث بررسی این حقوق مطرح شده‌است.
2017 Dec 20,"پاره‌ای از علل آلودگی هوای تهران را باید در عوامل طبیعی جست‌وجو کرد.
موقعیت اقلیمی تهران نشان می‌دهد که همیشه از شرق به غرب و شمال به جنوب تهران جریانات باد و هوا وجود داشته است اما به‌دلیل بلندمرتبه‌سازی‌های انجام شده در سال‌های گذشته این مسیرها از بین‌ رفته و به‌عبارتی گلوی تنفسی تهران مسدود شده‌اند."
2017 Dec 20,هر لیتر بنزین 1500تومان و هر لیتر گازوئیل 400تومان؛ این پیشنهاد دولت به مجلس در قالب لایحه بودجه سال آینده است. دولت می‌گوید اگر مجلس به این پیشنهاد رأی دهد از محل افزایش 500تومانی هر لیتر بنزین و 100تومانی هر لیتر گازوئیل می‌توان 17هزار و 400هزار میلیارد تومان پول به‌دست آورد و از آن برای ایجاد اشتغال استفاده کرد.
2017 Dec 20,شهردار تهران که صبح روز گذشته به همراه معاونان خود از خطوط 6 و 7 متروی تهران بازدید کرد
2017 Dec 20,از زمان تشکیل دفتر زنان ریاست‌جمهوری همواره این مراکز، بازنمای دیدگاه‌ها و رویکردهای دولت‌ها به مسائل زنان بوده‌اند؛ رویکردهایی که در خیلی موارد، در زندگی روزمره زنان تأثیر قابل‌توجهی بر جای گذاشته است.
2017 Dec 21,امشب جهان علیه آمریکا رأی خواهد داد؛ این جمله‌ای است که تحلیلگران در توصیف رویدادی کم‌سابقه در سازمان ملل به کار می‌برند؛ رویدادی که قرار است روز پنجشنبه در مجمع عمومی سازمان ملل رقم بخورد.
2017 Dec 21,پس از زمین لرزه 2/5 ریشتری در اطراف تهران استان‌های تهران ، گیلان، البرز، قم، مرکزی و قزوین لرزید
2017 Dec 21,رهبر معظم انقلاب در پی شهادت جانباز علی خوش‌لفظ پیام تسلیتی صادر کردند.
2017 Dec 21,نمایندگان مجلس روز گذشته با اصلاح موادی از آیین‌نامه داخلی مجلس،
2017 Dec 21,وزیر علوم، تحقیقات و فناوری درخصوص وضعیت 2دانشجوی ستاره داری که مقابل وزارت علوم چند روزی است
2017 Dec 21,در پی برخی نگرانی‌ها که در روزهای اخیر در رابطه با بودجه حمل‌ونقل عمومی تهران مطرح شده بود
2017 Dec 21,دیروز 29آذر، آلوده‌ترین روز سال بود. پیش از این 12آبان و 28آذر
2017 Dec 21,در شبی که پاییز به یغما می‌رود و زمستان قرار است رونمایی شود، یلدا با یک دقیقه طول عمر بیشتر از دیگر شب‌های سال از چند روز قبل مردم را به تلاش و تکاپو می‌اندازد تا برای بزرگداشت یک آیین سنتی و ملی یک شب را همه در کنار خانواده و اقوام خوش بگذرانند و به بهانه یک دقیقه بیشتر، ساعت‌ها را کنار هم باشند به چله‌نشینی.
2017 Dec 23,شهردار تهران:وجود مهربانی و همدلی در رفتار مردم نسبت به یکدیگر پس از وقوع زلزله برای من جالب بود؛ این اخلاق شهروندی و همراهی و همدلی مردم به‌عنوان یک سرمایه بزرگ به‌شمار می‌رود که امیدوارم همیشه حفظ شود.
2017 Dec 23,گوشه خیمه‌ها بالا می‌رود، چادر را از پشت به کمر گره می‌زنند و به سقف آسمان خیره می‌شوند، برخلاف زمین که پس‌لرزه‌هایش هنوز آرام و قرار ندارد، آسمان زمستانی امروز آرام و نیمه آفتابی است. آغازگران صبح، مادران شهر سرپل ذهاب هستند؛ بانوانی که با وجودشان، امید در شهر زلزله‌زده جوانه زده و رنگ‌وبوی زندگی غالب شده بر تصویر پرحجم ویرانی‌ها.
2017 Dec 23,اگر نگوییم انتخابات تنها عرصه مشارکت سیاسی برای اعمال نظر و‌ رای مردم در تعیین سرنوشت خود است اما می‌توان ادعا کرد که صندوق رأی، مؤثرترین امکان موجود و در اختیار اصلاح‌طلبان برای جریان‌سازی مشارکت مردم و بهبود عملکرد نهادهای انتخابی در ساختار قدرت است.
2017 Dec 23,در زلزله‌ای که در تهران به وقوع پیوست، شاهد 2نوع رفتار متفاوت زشت و زیبا در مردم بودیم؛ به‌عنوان مثال یک راننده اتوبوسی بود که بخاری اتوبوس خود را روشن کرده و مردم را به داخل ماشینش دعوت می‌کرد تا از سرما در امان بمانند و در مقابل شاهد این بودیم که عده‌ای از مردم با حضور در خطوط ویژه امداد و خلاف جهت رانندگی کردن باعث به‌وجود آمدن اختلال در معابر شده بودند.
2017 Dec 23,درس عبرت یکی از مثبت‌‌ترین پیامدهایی است که زلزله اخیر کرج و تهران به همراه داشت. می‌توان با نگاه به نیمه پر لیوان گفت: شهروندان در یک‌مانور کاملا واقعی تحت آزمایش قرار گرفتند و حالا خیلی‌ها دنبال پاسخ این سوال هستند که«چگونه در برابر زلزله آماده باشیم.
2017 Dec 23,ساعات پایانی روز پنجشنبه، چهره جدیدی از آمریکا برای جهان در جریان نشست فوق‌العاده مجمع عمومی سازمان ملل به نمایش گذاشته شد؛ چهره‌ای که به تعبیر شبکه الجزیره «تنهایی» و به گفته مجری شبکه المیادین «شکست‌خوردگی» وجوه غالب آن به شمار می‌رفت.
2017 Dec 23,گردشگران ایرانی پس از گردشگران روس بیشترین گردشگران ورودی کشور ارمنستان را تشکیل داده‌اند
2017 Dec 24,جلسه شورای هماهنگی ستاد بحران شهر تهران شب گذشته با حضور رؤسا و نمایندگان کارگروه‌های چهارده‌گانه مدیریت بحران در مرکز فرماندهی و ستاد مدیریت بحران شهر تهران برگزار شد.
2017 Dec 24,حاشیه‌نشینی به‌عنوان یکی از آسیب‌های مهم اجتماعی مورد توجه مسئولان کشوری و ازجمله مقام معظم رهبری است.
2017 Dec 24,در زلزله اخیر ملارد با وجود عملکرد قابل‌قبول صدا و سیما در زمینه اطلاع‌رسانی، شاهد برخی شایعه پراکنی‌ها در شبکه‌های مجازی و برخی ناهماهنگی‌ها از سوی مسئولان و نهادهای مربوطه بودیم.
2017 Dec 24,بررسی کارنامه مدیریت شهری در دوره جدید، بیانگر نکات امیدوارکننده‌ای است که نشأت گرفته از نوع نگاه متفاوت به مقوله‌های اجتماعی است
2017 Dec 24,یادداشت دکتر کاظمی، محور این صفحه است
2017 Dec 24,بودجه عمومی دولت ایران در سال آینده بالغ بر 393هزار میلیارد تومان برآورد می‌شود که از این میزان سهم امور فرهنگ، تربیت‌بدنی و گردشگری بالغ بر 78هزار و 878میلیارد ریال خواهد بود.
2017 Dec 24,کوچه و برزن‌ها یکدست با برگ‌های نارنجی فرش شده، گذرگاه‌ها خالی از هر جنبنده‌ای است. کلاغ‌های سیاه روی شاخه‌های بی‌برگ چنارها فرمانروایی می‌کنند. در این حوالی صدای بال زدن پرندگان را هم به راحتی می‌توان شنید.
2017 Dec 25,پیامک‌های تبلیغاتی مدت‌ها پیش از سخنرانی محمدجواد آذری جهرمی، وزیر ارتباطات در روز گذشته، دغدغه بسیاری از مشترکان بوده است؛ پیامک‌هایی که با طبقه‌بندی مشترک‌ها براساس سن، جنس، شغل، محل زندگی و حتی جایی که رفت‌وآمد داشته‌اند، ارسال می‌شود و حتی بلک‌لیست‌ها را هم دور می‌زند.
2017 Dec 25,نزدیک به یک‌سال‌ونیم پیش، شهرداد روحانی، ارکستر سمفونیک تهران را تحویل گرفت؛ ارکستری که حواشی اطرافش آن‌قدر زیاد شده بود که آهسته‌آهسته داشت تبدیل به اصل می‌شد و فعالیت ارکستر را به تعطیلی سوق می‌داد. اما شهرداد روحانی، داستان را چرخاند؛ به‌طور جدی پای اهدافش ایستاد، حواشی و انتقادها را نادیده گرفت و نوازنده‌ها را با خود همراه کرد.
2017 Dec 25,امروز در شرایطی که اقتصاد ایران در ریل خروج از رکود قرار گرفته، جامعه ایران بیش از هر زمان دیگری نیازمند امید است. اقتصادی که چندین سال رنج رکود را تحمل کرده و جامعه‌ای که به‌دلیل بیکاری و مهاجرت جوانان در رنج است، به انتظار نشسته تا تحولاتی اساسی در ساختارهای گاهی فرسوده، رخ دهد و از دل آن طلایه‌های امید و رونق نمایان شود.
2017 Dec 25,رای مثبت 128کشور جهان به قطعنامه پیشنهادی کشورهای مسلمان علیه تصمیم دونالد ترامپ درباره بیت‌المقدس را باید در ادامه رویکرد مستقل کشورها از آمریکا طی یک سال گذشته دید. کشورهای جهان در ماجرای پیمان آب‌و‌هوایی پاریس و توافق هسته‌ای با ایران هم نشان دادند که تصمیم گرفته‌اند مستقل از واشنگتن رفتار کرده و مسیر درست را بدون توجه به خواسته دولت آمریکا دنبال کنند.
2017 Dec 25,بررسی قیمت اقلام کالایی بیانگر افزایش قیمت برخی کالاهای اساسی و تثبیت یا کاهش نرخ برخی اقلام دیگر طی چند هفته اخیر است.
2017 Dec 25,رئیس اتاق بازرگانی تهران که دیروز مهمان شورای شهر تهران بود از وجود توان لازم برای انتقال نمایشگاه دائمی تهران در بزرگراه چمران به مجموعه شهرآفتاب خبر داد.
2017 Dec 25,ابتدای خیابان حال و هوای همیشگی را دارد. ویترین بزرگ فروشگاه‌ها یک روز عادی کم مشتری را نمایش می‌دهد. اما چند قدم جلوتر درست در انحنای خیابان، یکی یکی رستوران‌ها و کافی‌شاپ‌ها ظاهر می‌شوند. ارتش کاج‌های رنگین‌کمانی از اینجا به بعد کنار پیاده‌رو به خط شده‌اند.
2017 Dec 26,بیکاران دارای مدرک دانشگاهی لیسانس و بالاتر را که در مراکز کاریابی و مشاوره شغلی ثبت‌نام کرده‌اند استخدام کنید و 2سال مشمول معافیت پرداخت حق بیمه سهم کارفرما شوید.
2017 Dec 26,در این روزها که زمین سر گذاشته به لرزیدن، چندبار زیر آوار ماندن خودمان را تجسم کردیم؟ چندبار فکر کردیم، چگونه با مرگ روبه‌رو می‌‌شویم؟
2017 Dec 26,نرم‌خویی و آشتی‌جویی، مهربانی و آسوده‌جانی، بردباری و سازگاری با دیگران، به‌ویژه با بیگانگان، ویژگی‌هایی والایند و رفتارهایی شایان و نمایان که از نگاهی فراخ و ژرفکاوانه، ریشه در دیگردوستی دارند.
2017 Dec 26,سعید الحاج، نویسنده فلسطینی ساکن ترکیه ازجمله تحلیلگرانی است که با وجود گرایش‌های اخوانی، تحولات جاری منطقه را از منظر واقع‌گرایانه تفسیر می‌کند و مقالات او به‌طور هفتگی در بسیاری از پایگاه‌های عربی از جمله الجزیره یا الحوار منتشر می‌شود.
2017 Dec 26,این روزها موجی گسترده از اخبار و تحلیل‌های منفی علیه اقتصاد کشور به‌راه افتاده است.
2017 Dec 26,هوای بهاری در شروع فصل زمستان، پدیده دور از انتظاری است که این روزها شهروندان تهرانی شاهد آن هستند.
2017 Dec 26,فروشگاه‌های بزرگ تا همین چند سال پیش در حد مغازه‌هایی بودند که از ظاهر معمول کمی بزرگ‌تر به نظر می‌رسیدند. «مال» آنقدر واژه گنگی بود که برای معنا کردنش باید معادلی شبیه «یک پاساژ خیلی بزرگ»‌را برایش انتخاب می‌کردیم اما فقط در همین چند سال اخیر مال‌های واقعی از گوشه و کنار شهر سر بیرون آورده‌اند.
2017 Dec 27,بازآفرینی پایدار بافت‌های فرسوده و ناکارآمد شهری که رئیس‌جمهور نیز در مراسم رأی اعتماد وزرا آن را مؤکدا جزو مأموریت‌های وزیر راه و شهرسازی برشمرد، پا به دوره جدیدی گذاشته است.
2017 Dec 27,برای نخستین بار در ادوار شورای اسلامی شهر تهران، ری و تجریش؛ اسقف اعظم و خلیفه ارامنه تهران به مناسبت میلاد حضرت مسیحع و ایام آغاز سال‌نو میلادی دیروز مهمان پارلمان پایتخت بود. در ابتدای ورود سبوه سرکیسیان به ساختمان شورا در خیابان بهشت؛ محسن هاشمی، رئیس شورای اسلامی شهر تهران و تعدادی دیگر از اعضای این نهاد از خلیفه ارامنه تهران استقبال کردند.
2017 Dec 27,امروزه با تعاریف فناورانه مختلفی درباره شهر مواجه می‌شویم، شهر دیجیتال، شهر دانش، شهر دانا، شهر مجازی، شهر اطلاعاتی، ‌شهر خلاق، شهر یادگیرنده و... از این دست تعابیر است که پیوندی مستقیم با فناوری و شهر پیدا می‌کند و برای هریک تعاریفی نیز موجود است.
2017 Dec 27,این‌روزها در شرایطی که زنان  دوشادوش مردان کار می‌کنند تا چرخ زندگی‌شان بچرخد و بتوانند حداقل ‌نیازهای یک خانواده را برآورده کنند، سهم زنان از فرصت‌های شغلی، همچنان نصف مردان است
2017 Dec 27,«ساختار و فرایندهای شهرداری تهران مورد تجدیدنظر اساسی قرار می‌گیرند.» این خبر را شهردار تهران روز گذشته در سومین کنفرانس ملی شهر سایبری اعلام کرد .
2017 Dec 27,یک روز پس از اینکه مدیرعامل کانون هموفیلی ایران در نامه‌ای خطاب به رئیس‌جمهور اعلام کرد زنجیره تأمین داروهای بیماران هموفیلی و برخی بیماران صعب‌العلاج در خطر جدی است
2017 Dec 27,دکتر حمیدرضا برادران شرکاء 0 معاون رئیس‌جمهور و رئیس سازمان مدیریت و برنامه‌ریزی کشور در دولت دوم اصلاحات 0 این‌روزها بیشتر وقت خود را در مؤسسه عالی پژوهش تأمین ‌اجتماعی، صرف مطالعه و آموزش می‌کند.
2017 Dec 28,زلزله در یک هفته 2بار تهران را لرزانده است. تعدادی از شهرهای دیگر در گوشه و کنار کشور نیز از ابتدای سال شاهد زمین‌لرزه‌های خفیف و قوی بوده‌اند که متأسفانه تلفاتی هم به دنبال داشته‌ است.
2017 Dec 28,در شهر تهران مخاطرات متعددی زندگی شهروندان را تهدید می‌کند که فقط یکی از آنها زلزله است. زمین‌لرزه پدیده‌ای طبیعی است که قرن‌ها همراه انسان بوده و بعد از این هم ادامه خواهد داشت. چون این پدیده طبیعی قابل پیش‌بینی نیست، در نتیجه نمی‌شود جلوی وقوع آن را گرفت و هیچ راه گریزی جز زندگی مسالمت‌آمیز و معقول با آن وجود ندارد.
2017 Dec 28,آمارهایی که وزارت راه و شهرسازی، بانک مرکزی و سامانه اطلاعات املاک و مستغلات کشور ارائه داده‌اند و همچنین بررسی‌های میدانی نشان‌دهنده این است که در ماه‌های اخیر، حجم معاملات بازار مسکن در سطح کشور و در شهر تهران رشدی را تجربه کرده است
2017 Dec 28,وظیفه شهروندان در مقابل زلزله مسئله‌ای است که این‌روزها کمتر درباره آن بحث شده‌است. مطالبه‌گری به‌عنوان یک شهروند مسئول فقط بخشی از این وظیفه است که اگر تک‌تک ما در طول سال‌های متمادی به آن توجه می‌کردیم، یک زلزله کوچک در تهران، ‌نزدیک 50نفر آسیب‌دیده برجای نمی‌گذاشت.
2017 Dec 28,ششمین دوره جشنواره تئاترشهر امروز به‌کار خود پایان می‌دهد. در این دوره مجموعا ۶۲ گروه نمایشی حضور داشتند. شهرام کرمی، دبیر این جشنواره در گفت‌وگویی با همشهری فراز و فرودهای این جشنواره را بررسی کرده است.
2017 Dec 28,رهبر انقلاب اسلامی با تبریک سالروز میلاد حضرت امام حسن عسکری علیه‌السلام و گرامیداشت سالگرد حماسه مردمی نهم دی سال۱۳۸۸، از «تبلیغ» به‌عنوان مهم‌ترین وظیفه شورای هماهنگی تبلیغات اسلامی یاد کردند
2017 Dec 30,وزارت خارجه صدور ویزای کاغذی سفر به ایران را در اردیبهشت‌ماه سال 97برای گردشگران خارجی که از سامانه e-visa درخواست سفر به ایران داشته باشند
2017 Dec 30,آنچه در سال‌های گذشته باعث موفقیت دولت در عرصه‌های مختلف نظیر ایجاد ثبات اقتصادی و موفقیت‌های بین‌المللی شد بیش از سیاست‌ها، امید مردم به آینده بود.
2017 Dec 30,بخش مهمی از زندگی افراد به‌دلیل نداشتن برنامه و امید به آینده، هیچگاه به سر منزل مقصود نمی‌رسد.
2017 Dec 30,یکی از اصلی‌ترین خاستگاه‌های مؤسسات مالی که به غیرمجازها شهره شده‌اند، به محلی برای برگزاری تجمع اعتراضی مالباختگان بدل شده است.
2017 Dec 30,حسین مرعشی معتقد است که اصلاح‌طلبان هم پشت آقای روحانی را خالی نکرده‌‌اند و همچنان پشتیبان او هستند ولی دولتمردان باید برای افکار عمومی احترام قائل باشند و سیاست‌های دولت را برای مردم تشریح کنند؛ نه اینکه همه‌‌چیز پشت درهای بسته بماند. با او درباره تبعات خیز مطالبات از دولت روحانی و به‌دنبالش آثار ایجاد ناامیدی و تزریق یاس در جامعه گفت‌وگو کرده‌ایم.
2017 Dec 30,تغییر در شیوه اجرای طرح ترافیک تهران مسئله‌ای است که در روزهای اخیر از سوی شهرداری تهران مطرح شده است.
2017 Dec 30,در سال۹۵ یک میلیون و ۴۰۰هزار دستگاه خودرو در ایران تولید شده و برای سال۹۶ هم تولید یک میلیون و ۶۰۰هزار دستگاه برنامه‌ریزی شده است. بازار خودرو در عین حال، یکی از آشفته‌ترین بازارهای ایران است؛ چراکه در قسمت‌های مختلف آن سوداگری‌ رواج دارد و به چندین شکل و مدل، می‌توان ماشین خرید و فروخت.
2017 Dec 30,کیسه‌های بزرگ سفید و آلونک‌های کوچک در دل کوهی از زباله؛ زباله، زباله، زباله. کودکانی میان کوه‌های متصل زباله تردد دارند و تعدادی هم ایستاده‌اند، خم می‌شوند و بالا می‌آیند. تعدادی کامیون منتظر هستند تا تفکیک تمام شود؛ قوطی‌های فلزی نوشیدنی در یک کیسه، بطری‌های پلاستیکی در کیسه‌ای دیگر و... .
2017 Dec 31,سه روز پس از اعتراض‌ها در شهرهای مختلف، فعالان سیاسی از دستگاه‌ها و نهادهای حاکمیتی می‌خواهند به‌صورت اقناعی و مبتنی بر قانون اساسی به این خواسته‌ها احترام بگذارند و پاسخگوی انتظارات باشند.
2017 Dec 31,سال2016 در حالی به پایان رسید که جهان، مبهوت انتخاب یک رئیس‌جمهور غیرمنتظره در آمریکا بود؛ داعش هنوز در عراق و سوریه «پایتخت» داشت و اروپا در انتظار 2انتخابات سرنوشت‌ساز به سر می‌برد.
2017 Dec 31,سال 2017در جبهه اقتصادی جهان، سال خوبی را پشت سر گذاشت و بسیاری از کشورها شاهد تداوم روند رو به رشد تولید ناخالص داخلی خود بودند؛ به‌طوری‌که نرخ رشد تولید ناخالص جهانی اکنون به بالاترین رقم از ابتدای دهه جاری رسیده است.
2017 Dec 31,برخلاف آنچه در رسانه‌ها و فضای مجازی شاهد آن هستیم سیاست‌زدگی در تحلیل هر حادثه‌ای هیچ‌وقت به یافتن راه‌‌حلی برای آن بدل نشده است.
